   Koraci,     dV(mm),       Tzy(MN)
     1       0.004443       0.000000
     2       0.008916       0.000000
     3       0.013390       0.000000
     4       0.017864       0.000000
     5       0.022337       0.000000
     6       0.026811       0.000000
     7       0.031284       0.000000
     8       0.035758       0.000000
     9       0.040231       0.000000
    10       0.044705       0.000000
    11      -0.087152       0.355479
    12      -0.256844       0.378312
    13      -0.453515       0.378722
    14      -0.652909       0.377741
    15      -0.879991       0.366757
    16      -1.106287       0.353631
    17      -1.358524       0.343607
    18      -1.679629       0.312374
    19      -1.951695       0.303495
    20      -2.320958       0.294627
    21      -2.622933       0.292253
    22      -2.999167       0.286962
    23      -3.288412       0.286914
    24      -3.628616       0.279587
    25      -3.917661       0.277314
    26      -4.238661       0.273739
    27      -4.508997       0.267280
    28      -4.859409       0.260755
    29      -5.153514       0.248594
    30      -5.517342       0.252477
    31      -5.861759       0.243806
    32      -6.243522       0.246406
    33      -6.600772       0.241276
    34      -6.971800       0.243780
    35      -7.320606       0.241725
    36      -7.699218       0.244170
    37      -8.041739       0.243045
    38      -8.418685       0.244656
    39      -8.752991       0.244966
    40      -9.161312       0.246202
    41      -9.481303       0.246666
    42      -9.906092       0.245845
    43     -10.248607       0.248988
    44     -10.651876       0.246917
    45     -11.003791       0.249485
    46     -11.413541       0.246918
    47     -11.764444       0.247804
    48     -12.221705       0.247530
    49     -12.562347       0.247545
    50     -12.978098       0.245076
    51     -13.369649       0.250334
    52     -13.792948       0.242791
    53     -14.151290       0.250267
    54     -14.627989       0.245175
    55     -14.985090       0.243015
    56     -15.425573       0.234234
    57     -15.810376       0.240171
    58     -16.213993       0.229965
    59     -16.543248       0.236549
    60     -16.933359       0.229646
